year,licitacao_id,modalidade,numero,codigo,objeto,situacao
2023,20486,INEXIGIBILIDADE,34/2023,190,"Contratação direta do Serviço Social do Comércio-SESC-RS, em mútua colaboração para apresentação teatral da peça expresso do Noel  Uma Viagem encantada, pelo Grupo Aldeia Teatral, na abertura da programação de natal de 2023 em São Borja/RS, que será realizado no dia 12/12/2023 na praça XV de Novembro.",Homologada
2023,20391,PRD DISPENSA EXCETO PEQUENO VALOR,34/2023,131,"Dispensa emergencial de licitação para aquisição de medicamentos destinados aos usuários do Sistema Único de Saúde (SUS), a serem distribuídos nas farmácias básicas do município de São Borja.",Homologada
2023,20375,PREGÃO ELETRONICO,34/2023,115,Registro de preços para aquisição de medicamentos destinados a distribuição aos pacientes usuários do Sistema Único de Saúde (SUS),Homologada
2023,20392,PRD DISPENSA EXCETO PEQUENO VALOR,35/2023,132,"Dispensa emergencial de licitação para aquisição de medicamentos destinados aos usuários do Sistema Único de Saúde (SUS), a serem distribuídos nas farmácias básicas do município de São Borja",Homologada
2023,20376,PREGÃO ELETRONICO,35/2023,116,Aquisição de equipamentos médico/hospitalares para uso nas unidades de pronto atendimento e ambulâncias municipais,Homologada
2023,20430,INEXIGIBILIDADE,35/2023,169,"Contratação da empresa Lucimaura Souza Rodrigues para prestar assessoria e consultoria técnica para execução dos benefícios da Lei Complementar nº 195/2022, instituída Lei Paulo Gustavo.",Homologada
2023,20380,PREGÃO ELETRONICO,36/2023,120,"Contratação de empresa especializada para manutenção da VTR 156 motoniveladora, marca Case, modelo 845 B, ano 2007, com fornecimento de peças e prestação de serviços (mão de obra mecânica).",Homologada
2023,20401,PRD DISPENSA EXCETO PEQUENO VALOR,36/2023,141,"Termo de colaboração celebrado entre o Município de São Borja e a Associação de Pais e Amigos dos Excepcionais - APAE com o objetivo de executar e manter vagas e atendimentos educacionais especiais de alunos, crianças, adolescentes e jovens com deficiência intelectual e múltipla. Melhor descritos no memo n° 367/CS/2023, e no Termo de Colaboração n° 013/2023/CS.",Homologada
2023,20468,INEXIGIBILIDADE,36/2023,175,"O objeto da presente inexigibilidade de licitação é a contratação da empresa Rossini Rodrigues para construção de estátua de um casal fandangueiro, composto pelo peão com aproximadamente 3 metros, e pela prenda com aproximadamente 2,90 metros.",Homologada
2023,20382,PREGÃO ELETRONICO,37/2023,122,Registro de preço de materiais médico hospitalar e ambulatorial destinados a todas as unidades de saúde da Secretaria Municipal da Saúde  SMS,Homologada
2023,20402,PRD DISPENSA EXCETO PEQUENO VALOR,37/2023,142,"Contratação direta do Serviço Social do Comércio-SESC-RS, em mútua colaboração para apresentação de show musical pelo grupo Garotos de Ouro no evento Baile de Ramada, que tem previsão de ocorrer no dia 03/09/2023, aproximadamente entre as 18h30min e 21h30min, em São Borja/RS.",Homologada
2023,20493,INEXIGIBILIDADE,37/2023,197,Contratação da empresa para destinação final de RSU (resíduos sólidos urbanos) em aterro sanitário devidamente licenciado por órgão ambiental.,Homologada
2023,20383,PREGÃO ELETRONICO,38/2023,123,Aquisição de bens permanentes (mobiliários) destinados à Associação de Pais e Amigos dos Excepcionais de São Borja,Homologada
