regime,position_date,page,cnae,count
SIMEI,12/09/2026,2,8219999,79
SIMEI,12/09/2026,2,8230001,32
SIMEI,12/09/2026,2,8230002,5
SIMEI,12/09/2026,2,8291100,10
SIMEI,12/09/2026,3,8299703,1
SIMEI,12/09/2026,3,8299707,1
SIMEI,12/09/2026,3,8299799,4
SIMEI,12/09/2026,3,8592902,1
SIMEI,12/09/2026,3,8592903,2
SIMEI,12/09/2026,3,8592999,14
SIMEI,12/09/2026,3,8593700,1
SIMEI,12/09/2026,3,8599603,6
SIMEI,12/09/2026,3,8599604,36
SIMEI,12/09/2026,3,8599605,7
SIMEI,12/09/2026,3,8599699,66
SIMEI,12/09/2026,3,8712300,49
SIMEI,12/09/2026,3,9001902,19
SIMEI,12/09/2026,3,9001906,9
SIMEI,12/09/2026,3,9329803,2
SIMEI,12/09/2026,3,9329899,5
SIMEI,12/09/2026,3,9511800,32
SIMEI,12/09/2026,3,9512600,13
SIMEI,12/09/2026,3,9521500,10
SIMEI,12/09/2026,3,9529101,2
SIMEI,12/09/2026,3,9529102,5
SIMEI,12/09/2026,3,9529104,4
SIMEI,12/09/2026,3,9529105,16
SIMEI,12/09/2026,3,9529199,2
SIMEI,12/09/2026,3,9601701,6
SIMEI,12/09/2026,3,9601703,1
SIMEI,12/09/2026,3,9602501,276
SIMEI,12/09/2026,3,9602502,94
SIMEI,12/09/2026,3,9609206,11
SIMEI,12/09/2026,3,9609207,4
SIMEI,12/09/2026,3,9609208,16
SIMEI,12/09/2026,3,9609299,12
SIMEI,12/09/2026,3,9700500,184
